Id,SalePrice
1461,69920.1
1462,93438.33
1463,141078.52
1464,175487.67
1465,122216.055
1466,115131.09
1467,128268.734
1468,115640.58
1469,142917.5
1470,82914.51
1471,118871.984
1472,57502.965
1473,55464.53
1474,102871.9
1475,64346.12
1476,263393.97
1477,218156.25
1478,153653.94
1479,188586.16
1480,376479.97
1481,244089.83
1482,148776.73
1483,142136.06
1484,108949.47
1485,120431.03
1486,141797.72
1487,312625.25
1488,190209.05
1489,195637.0
1490,218101.52
1491,154013.95
1492,53305.094
1493,115365.42
1494,211409.0
1495,238857.9
1496,181048.92
1497,156398.14
1498,131458.52
1499,160442.69
1500,113879.875
1501,123406.25
1502,137015.0
1503,181652.52
1504,169029.66
1505,163506.67
1506,133575.44
1507,233140.14
1508,203529.27
1509,143200.19
1510,94628.59
1511,98454.96
1512,100413.76
1513,72924.49
1514,91697.945
1515,134340.14
1516,112371.77
1517,102814.03
1518,47367.46
1519,162990.11
1520,89420.984
1521,108599.88
1522,78300.305
1523,78780.8
1524,78040.35
1525,95986.51
1526,59849.992
1527,99841.59
1528,62657.92
1529,115314.375
1530,153691.0
1531,85745.55
1532,33733.527
1533,197660.53
1534,74678.555
1535,81535.75
1536,84678.4
1537,57875.875
1538,130705.086
1539,160892.55
1540,30004.283
1541,71247.23
1542,72144.56
1543,134937.08
1544,49013.797
1545,67688.53
1546,120243.4
1547,91736.43
1548,75798.016
1549,81637.21
1550,97189.41
1551,53336.47
1552,142233.56
1553,51109.19
1554,97143.06
1555,105790.77
1556,53659.01
1557,41148.7
1558,58076.074
1559,32174.273
1560,53390.92
1561,53198.75
1562,69134.516
1563,71620.68
1564,100775.82
1565,79731.71
1566,187723.94
1567,55681.457
1568,134087.1
1569,197007.12
1570,73803.45
1571,48725.914
1572,81277.07
1573,278529.47
1574,74372.3
1575,146860.69
1576,290792.78
1577,146602.22
1578,74015.05
1579,76668.4
1580,148325.52
1581,81922.51
1582,78319.8
1583,236013.45
1584,170989.83
1585,83413.3
1586,46622.47
1587,54706.484
1588,86585.69
1589,69635.625
1590,93717.84
1591,44729.574
1592,53544.605
1593,80893.9
1594,65587.71
1595,58479.96
1596,104053.15
1597,96174.71
1598,165451.39
1599,123229.13
1600,128553.08
1601,64774.402
1602,71940.984
1603,55981.227
1604,132976.89
1605,201587.88
1606,130509.52
1607,109073.6
1608,154853.45
1609,175125.88
1610,142060.05
1611,90737.56
1612,144286.3
1613,119800.88
1614,51308.64
1615,34908.062
1616,33388.12
1617,46117.723
1618,84710.38
1619,113981.805
1620,197603.8
